Date,Open,High,Low,Close,Adj Close,Volume
2021-09-08,2420.000000,2430.000000,2360.000000,2370.000000,2370.000000,1464400
2021-09-09,2380.000000,2380.000000,2300.000000,2330.000000,2330.000000,1625600
2021-09-10,2330.000000,2350.000000,2310.000000,2340.000000,2340.000000,358200
2021-09-13,2340.000000,2370.000000,2340.000000,2350.000000,2350.000000,780500
2021-09-14,2360.000000,2370.000000,2340.000000,2340.000000,2340.000000,602400
2021-09-15,2340.000000,2350.000000,2320.000000,2330.000000,2330.000000,797500
2021-09-16,2330.000000,2360.000000,2330.000000,2340.000000,2340.000000,620400
2021-09-17,2340.000000,2350.000000,2320.000000,2320.000000,2320.000000,720900
2021-09-20,2350.000000,2410.000000,2300.000000,2400.000000,2400.000000,2336500
2021-09-21,2400.000000,2410.000000,2350.000000,2400.000000,2400.000000,2062400
2021-09-22,2400.000000,2410.000000,2360.000000,2360.000000,2360.000000,1014900
2021-09-23,2360.000000,2380.000000,2320.000000,2340.000000,2340.000000,936400
2021-09-24,2330.000000,2350.000000,2330.000000,2340.000000,2340.000000,798000
2021-09-27,2340.000000,2360.000000,2340.000000,2350.000000,2350.000000,628700
2021-09-28,2350.000000,2370.000000,2340.000000,2350.000000,2350.000000,1426000
2021-09-29,2340.000000,2460.000000,2310.000000,2420.000000,2420.000000,5140300
2021-09-30,2460.000000,2540.000000,2380.000000,2400.000000,2400.000000,8460600
2021-10-01,2400.000000,2430.000000,2360.000000,2360.000000,2360.000000,1693400
2021-10-04,2370.000000,2420.000000,2360.000000,2400.000000,2400.000000,2945500
2021-10-05,2410.000000,2480.000000,2370.000000,2430.000000,2430.000000,4495200
2021-10-06,2430.000000,2500.000000,2420.000000,2470.000000,2470.000000,6072600
2021-10-07,2480.000000,2660.000000,2470.000000,2640.000000,2640.000000,17293600
2021-10-08,2680.000000,2730.000000,2540.000000,2570.000000,2570.000000,13212900
2021-10-11,2570.000000,2600.000000,2540.000000,2560.000000,2560.000000,2813700
2021-10-12,2560.000000,2590.000000,2550.000000,2590.000000,2590.000000,2882300
2021-10-13,2600.000000,2690.000000,2600.000000,2680.000000,2680.000000,7648200
2021-10-14,2680.000000,2710.000000,2580.000000,2640.000000,2640.000000,6257500
